Year,Region,Students,School,Gender
2009,대구,27570,유치원,전체
2010,대구,27178,유치원,전체
2011,대구,28669,유치원,전체
2012,대구,31657,유치원,전체
2013,대구,34550,유치원,전체
2014,대구,34554,유치원,전체
2015,대구,36951,유치원,전체
2016,대구,38865,유치원,전체
2017,대구,38936,유치원,전체
2018,대구,38475,유치원,전체
2019,대구,36185,유치원,전체
2020,대구,35651,유치원,전체
2021,대구,33958,유치원,전체
2022,대구,32272,유치원,전체
2023,대구,30496,유치원,전체
2024,대구,29254,유치원,전체
1999,인천,25563,유치원,전체
2000,인천,26811,유치원,전체
2001,인천,26962,유치원,전체
2002,인천,27455,유치원,전체
2003,인천,27274,유치원,전체
2004,인천,26656,유치원,전체
2005,인천,26136,유치원,전체
2006,인천,28337,유치원,전체
2007,인천,29950,유치원,전체
2008,인천,31368,유치원,전체
2009,인천,31858,유치원,전체
2010,인천,32521,유치원,전체
2011,인천,34592,유치원,전체
2012,인천,38162,유치원,전체
2013,인천,41594,유치원,전체
2014,인천,40369,유치원,전체
2015,인천,42389,유치원,전체
2016,인천,44625,유치원,전체
2017,인천,44009,유치원,전체
2018,인천,42324,유치원,전체
2019,인천,39373,유치원,전체
2020,인천,38319,유치원,전체
2021,인천,36170,유치원,전체
2022,인천,35427,유치원,전체
2023,인천,34777,유치원,전체
2024,인천,34457,유치원,전체
1999,광주,13433,유치원,전체
2000,광주,14472,유치원,전체
2001,광주,15140,유치원,전체
2002,광주,14936,유치원,전체
2003,광주,14794,유치원,전체
2004,광주,15643,유치원,전체
2005,광주,15977,유치원,전체
2006,광주,16354,유치원,전체
2007,광주,17300,유치원,전체
2008,광주,17091,유치원,전체
2009,광주,17193,유치원,전체
2010,광주,17165,유치원,전체
2011,광주,18549,유치원,전체
2012,광주,20445,유치원,전체
2013,광주,22676,유치원,전체
2014,광주,22288,유치원,전체
2015,광주,23741,유치원,전체
2016,광주,24790,유치원,전체
2017,광주,24654,유치원,전체
2018,광주,24609,유치원,전체
2019,광주,23252,유치원,전체
2020,광주,23220,유치원,전체
2021,광주,22198,유치원,전체
2022,광주,20998,유치원,전체
2023,광주,19911,유치원,전체
2024,광주,18924,유치원,전체
1999,대전,18467,유치원,전체
2000,대전,19733,유치원,전체
2001,대전,20081,유치원,전체
2002,대전,20203,유치원,전체
2003,대전,20609,유치원,전체
2004,대전,19551,유치원,전체
2005,대전,20099,유치원,전체
2006,대전,21346,유치원,전체
2007,대전,21270,유치원,전체
2008,대전,21491,유치원,전체
2009,대전,20899,유치원,전체
2010,대전,20323,유치원,전체
2011,대전,20874,유치원,전체
2012,대전,23179,유치원,전체
2013,대전,25263,유치원,전체
2014,대전,25024,유치원,전체
2015,대전,25660,유치원,전체
2016,대전,25921,유치원,전체
2017,대전,25067,유치원,전체
2018,대전,24012,유치원,전체
2019,대전,22898,유치원,전체
2020,대전,22132,유치원,전체
2021,대전,21276,유치원,전체
2022,대전,20405,유치원,전체
2023,대전,18937,유치원,전체
2024,대전,17855,유치원,전체
1999,울산,18530,유치원,전체
2000,울산,19601,유치원,전체
2001,울산,18983,유치원,전체
2002,울산,18774,유치원,전체
2003,울산,18445,유치원,전체
2004,울산,17936,유치원,전체
2005,울산,17718,유치원,전체
2006,울산,16605,유치원,전체
2007,울산,16702,유치원,전체
2008,울산,16245,유치원,전체
2009,울산,15978,유치원,전체
2010,울산,15421,유치원,전체
2011,울산,16225,유치원,전체
2012,울산,17649,유치원,전체
2013,울산,19032,유치원,전체
2014,울산,18336,유치원,전체
2015,울산,19177,유치원,전체
2016,울산,19604,유치원,전체
2017,울산,19571,유치원,전체
2018,울산,18545,유치원,전체
2019,울산,17266,유치원,전체
2020,울산,16882,유치원,전체
2021,울산,15871,유치원,전체
2022,울산,14779,유치원,전체
2023,울산,13513,유치원,전체
2024,울산,12829,유치원,전체
2013,세종,1305,유치원,전체
2014,세종,1699,유치원,전체
2015,세종,4108,유치원,전체
2016,세종,4888,유치원,전체
2017,세종,5370,유치원,전체
2018,세종,6393,유치원,전체
2019,세종,6541,유치원,전체
2020,세종,6763,유치원,전체
2021,세종,6600,유치원,전체
2022,세종,6422,유치원,전체
2023,세종,6254,유치원,전체
2024,세종,5902,유치원,전체
1999,경기,112073,유치원,전체
2000,경기,113474,유치원,전체
2001,경기,115805,유치원,전체
2002,경기,121007,유치원,전체
2003,경기,123587,유치원,전체
2004,경기,125828,유치원,전체
2005,경기,129531,유치원,전체
2006,경기,133034,유치원,전체
2007,경기,135245,유치원,전체
2008,경기,136558,유치원,전체
2009,경기,137566,유치원,전체
2010,경기,141626,유치원,전체
2011,경기,150966,유치원,전체
2012,경기,166705,유치원,전체
2013,경기,182231,유치원,전체
2014,경기,181812,유치원,전체
2015,경기,191293,유치원,전체
2016,경기,196618,유치원,전체
2017,경기,194299,유치원,전체
2018,경기,189645,유치원,전체
2019,경기,176782,유치원,전체
2020,경기,169686,유치원,전체
2021,경기,161980,유치원,전체
2022,경기,153149,유치원,전체
2023,경기,144693,유치원,전체
2024,경기,138362,유치원,전체
1999,강원,17216,유치원,전체
2000,강원,17045,유치원,전체
2001,강원,16465,유치원,전체
2002,강원,16657,유치원,전체
2003,강원,16276,유치원,전체
2004,강원,15921,유치원,전체
2005,강원,15595,유치원,전체
2006,강원,15275,유치원,전체
2007,강원,14904,유치원,전체
2008,강원,14422,유치원,전체
2009,강원,14343,유치원,전체
2010,강원,14137,유치원,전체
2011,강원,14226,유치원,전체
2012,강원,15158,유치원,전체
2013,강원,16007,유치원,전체
2014,강원,15947,유치원,전체
2015,강원,17387,유치원,전체
2016,강원,18149,유치원,전체
2017,강원,17438,유치원,전체
2018,강원,16561,유치원,전체
2019,강원,15388,유치원,전체
2020,강원,14679,유치원,전체
2021,강원,13684,유치원,전체
2022,강원,13168,유치원,전체
2023,강원,12681,유치원,전체
2024,강원,12440,유치원,전체
1999,충북,19254,유치원,전체
2000,충북,18450,유치원,전체
2001,충북,18183,유치원,전체
2002,충북,17626,유치원,전체
2003,충북,17140,유치원,전체
2004,충북,16915,유치원,전체
2005,충북,16298,유치원,전체
2006,충북,16250,유치원,전체
2007,충북,15997,유치원,전체
2008,충북,15359,유치원,전체
2009,충북,15263,유치원,전체
2010,충북,14924,유치원,전체
2011,충북,15317,유치원,전체
2012,충북,16792,유치원,전체
2013,충북,17446,유치원,전체
2014,충북,17489,유치원,전체
2015,충북,18305,유치원,전체
2016,충북,18932,유치원,전체
2017,충북,18351,유치원,전체
2018,충북,17568,유치원,전체
2019,충북,16629,유치원,전체
2020,충북,16049,유치원,전체
2021,충북,15576,유치원,전체
2022,충북,14993,유치원,전체
2023,충북,14216,유치원,전체
2024,충북,13823,유치원,전체
1999,충남,21741,유치원,전체
2000,충남,21440,유치원,전체
2001,충남,21227,유치원,전체
2002,충남,21050,유치원,전체
2003,충남,20714,유치원,전체
2004,충남,20302,유치원,전체
2005,충남,20821,유치원,전체
2006,충남,21141,유치원,전체
2007,충남,21028,유치원,전체
2008,충남,21498,유치원,전체
2009,충남,22098,유치원,전체
2010,충남,22693,유치원,전체
2011,충남,24095,유치원,전체
2012,충남,25767,유치원,전체
2013,충남,26411,유치원,전체
2014,충남,26096,유치원,전체
2015,충남,27141,유치원,전체
2016,충남,28288,유치원,전체
2017,충남,28242,유치원,전체
2018,충남,27991,유치원,전체
2019,충남,26671,유치원,전체
2020,충남,25594,유치원,전체
2021,충남,24556,유치원,전체
2022,충남,23647,유치원,전체
2023,충남,21965,유치원,전체
2024,충남,20626,유치원,전체
1999,전북,20881,유치원,전체
2000,전북,21416,유치원,전체
2001,전북,21047,유치원,전체
2002,전북,21054,유치원,전체
2003,전북,21513,유치원,전체
2004,전북,21448,유치원,전체
2005,전북,20558,유치원,전체
2006,전북,19743,유치원,전체
2007,전북,19320,유치원,전체
2008,전북,18834,유치원,전체
2009,전북,19130,유치원,전체
2010,전북,19677,유치원,전체
2011,전북,21057,유치원,전체
2012,전북,22250,유치원,전체
2013,전북,23266,유치원,전체
2014,전북,23296,유치원,전체
2015,전북,25059,유치원,전체
2016,전북,26389,유치원,전체
2017,전북,25768,유치원,전체
2018,전북,24297,유치원,전체
2019,전북,22025,유치원,전체
2020,전북,21188,유치원,전체
2021,전북,20022,유치원,전체
2022,전북,18740,유치원,전체
2023,전북,17377,유치원,전체
2024,전북,16014,유치원,전체
1999,전남,24705,유치원,전체
2000,전남,24704,유치원,전체
2001,전남,24156,유치원,전체
2002,전남,23173,유치원,전체
2003,전남,22205,유치원,전체
2004,전남,21438,유치원,전체
2005,전남,21078,유치원,전체
2006,전남,20111,유치원,전체
2007,전남,19325,유치원,전체
2008,전남,18593,유치원,전체
2009,전남,18099,유치원,전체
2010,전남,17736,유치원,전체
2011,전남,17854,유치원,전체
2012,전남,18519,유치원,전체
2013,전남,18895,유치원,전체
2014,전남,18951,유치원,전체
2015,전남,19983,유치원,전체
2016,전남,20801,유치원,전체
2017,전남,20710,유치원,전체
2018,전남,19670,유치원,전체
2019,전남,18682,유치원,전체
2020,전남,17889,유치원,전체
2021,전남,17276,유치원,전체
2022,전남,16285,유치원,전체
2023,전남,15458,유치원,전체
2024,전남,14676,유치원,전체
1999,경북,36231,유치원,전체
2000,경북,36841,유치원,전체
2001,경북,35768,유치원,전체
2002,경북,36197,유치원,전체
2003,경북,35801,유치원,전체
2004,경북,35283,유치원,전체
2005,경북,35562,유치원,전체
2006,경북,35079,유치원,전체
2007,경북,32761,유치원,전체
2008,경북,31883,유치원,전체
2009,경북,31747,유치원,전체
2010,경북,31263,유치원,전체
2011,경북,32719,유치원,전체
2012,경북,35433,유치원,전체
2013,경북,37230,유치원,전체
2014,경북,37274,유치원,전체
2015,경북,38663,유치원,전체
2016,경북,40185,유치원,전체
2017,경북,39836,유치원,전체
2018,경북,38961,유치원,전체
2019,경북,36723,유치원,전체
2020,경북,35478,유치원,전체
2021,경북,33375,유치원,전체
2022,경북,31365,유치원,전체
2023,경북,29079,유치원,전체
2024,경북,27164,유치원,전체
1999,경남,41979,유치원,전체
2000,경남,42499,유치원,전체
2001,경남,43226,유치원,전체
2002,경남,44788,유치원,전체
2003,경남,43956,유치원,전체
2004,경남,43844,유치원,전체
2005,경남,44447,유치원,전체
2006,경남,44268,유치원,전체
2007,경남,44188,유치원,전체
2008,경남,43158,유치원,전체
2009,경남,44273,유치원,전체
2010,경남,43958,유치원,전체
2011,경남,45297,유치원,전체
2012,경남,47731,유치원,전체
2013,경남,50370,유치원,전체
2014,경남,49011,유치원,전체
2015,경남,50580,유치원,전체
2016,경남,52486,유치원,전체
2017,경남,51647,유치원,전체
2018,경남,51276,유치원,전체
2019,경남,49068,유치원,전체
2020,경남,47191,유치원,전체
2021,경남,45144,유치원,전체
2022,경남,42385,유치원,전체
2023,경남,39724,유치원,전체
2024,경남,36931,유치원,전체
1999,제주,5843,유치원,전체
2000,제주,5903,유치원,전체
2001,제주,6031,유치원,전체
2002,제주,5858,유치원,전체
2003,제주,5970,유치원,전체
2004,제주,5540,유치원,전체
2005,제주,5706,유치원,전체
2006,제주,5672,유치원,전체
2007,제주,5270,유치원,전체
2008,제주,5016,유치원,전체
2009,제주,4988,유치원,전체
2010,제주,4743,유치원,전체
2011,제주,4847,유치원,전체
2012,제주,5059,유치원,전체
2013,제주,5295,유치원,전체
2014,제주,5296,유치원,전체
2015,제주,5547,유치원,전체
2016,제주,5943,유치원,전체
2017,제주,5893,유치원,전체
2018,제주,6097,유치원,전체
2019,제주,6181,유치원,전체
2020,제주,6395,유치원,전체
2021,제주,6277,유치원,전체
2022,제주,5945,유치원,전체
2023,제주,5589,유치원,전체
2024,제주,5405,유치원,전체
2000,전국,289711,유치원,남성
2001,전국,287104,유치원,남성
2002,전국,288301,유치원,남성
2003,전국,284976,유치원,남성
2004,전국,283276,유치원,남성
2005,전국,283288,유치원,남성
2006,전국,285610,유치원,남성
2007,전국,281981,유치원,남성
2008,전국,279850,유치원,남성
2009,전국,278766,유치원,남성
2010,전국,278266,유치원,남성
2011,전국,290333,유치원,남성
2012,전국,314874,유치원,남성
2013,전국,337541,유치원,남성
2014,전국,334396,유치원,남성
2015,전국,349481,유치원,남성
2016,전국,358961,유치원,남성
2017,전국,352561,유치원,남성
2018,전국,342497,유치원,남성
2019,전국,320848,유치원,남성
2020,전국,310361,유치원,남성
2021,전국,294879,유치원,남성
2022,전국,280099,유치원,남성
2023,전국,264413,유치원,남성
2024,전국,252574,유치원,남성
1999,서울,50963,유치원,남성
2000,서울,50484,유치원,남성
2001,서울,49699,유치원,남성
2002,서울,48724,유치원,남성
2003,서울,46718,유치원,남성
2004,서울,45742,유치원,남성
2005,서울,44626,유치원,남성
2006,서울,44668,유치원,남성
2007,서울,42678,유치원,남성
2008,서울,42553,유치원,남성
2009,서울,41099,유치원,남성
2010,서울,40687,유치원,남성
2011,서울,41826,유치원,남성
2012,서울,44945,유치원,남성
2013,서울,47063,유치원,남성
2014,서울,46519,유치원,남성
2015,서울,46532,유치원,남성
2016,서울,46183,유치원,남성
2017,서울,44947,유치원,남성
2018,서울,43023,유치원,남성
2019,서울,39441,유치원,남성
2020,서울,37956,유치원,남성
2021,서울,35405,유치원,남성
2022,서울,33838,유치원,남성
2023,서울,31924,유치원,남성
2024,서울,31361,유치원,남성
1999,부산,21595,유치원,남성
2000,부산,21973,유치원,남성
2001,부산,21551,유치원,남성
2002,부산,21289,유치원,남성
2003,부산,20924,유치원,남성
2004,부산,20851,유치원,남성
2005,부산,20393,유치원,남성
2006,부산,20290,유치원,남성
2007,부산,19815,유치원,남성
2008,부산,19062,유치원,남성
2009,부산,19060,유치원,남성
2010,부산,18719,유치원,남성
2011,부산,19794,유치원,남성
2012,부산,21257,유치원,남성
2013,부산,22629,유치원,남성
2014,부산,22474,유치원,남성
2015,부산,22952,유치원,남성
2016,부산,23713,유치원,남성
2017,부산,23211,유치원,남성
2018,부산,22634,유치원,남성
2019,부산,21598,유치원,남성
2020,부산,20739,유치원,남성
2021,부산,19511,유치원,남성
2022,부산,18296,유치원,남성
2023,부산,17185,유치원,남성
2024,부산,16580,유치원,남성
1999,대구,14027,유치원,남성
2000,대구,14876,유치원,남성
2001,대구,14881,유치원,남성
2002,대구,15112,유치원,남성
2003,대구,15429,유치원,남성
2004,대구,15342,유치원,남성
2005,대구,14899,유치원,남성
2006,대구,15010,유치원,남성
2007,대구,14634,유치원,남성
2008,대구,14380,유치원,남성
2009,대구,14421,유치원,남성
2010,대구,14151,유치원,남성
2011,대구,14940,유치원,남성
2012,대구,16329,유치원,남성
2013,대구,17835,유치원,남성
2014,대구,17937,유치원,남성
2015,대구,19051,유치원,남성
2016,대구,19804,유치원,남성
2017,대구,19782,유치원,남성
2018,대구,19456,유치원,남성
2019,대구,18223,유치원,남성
2020,대구,18054,유치원,남성
2021,대구,17116,유치원,남성
2022,대구,16113,유치원,남성
2023,대구,15262,유치원,남성
2024,대구,14858,유치원,남성
1999,인천,13465,유치원,남성
2000,인천,14123,유치원,남성
2001,인천,14186,유치원,남성
2002,인천,14270,유치원,남성
2003,인천,14095,유치원,남성
2004,인천,13795,유치원,남성
2005,인천,13689,유치원,남성
2006,인천,14595,유치원,남성
2007,인천,15349,유치원,남성
2008,인천,16031,유치원,남성
2009,인천,16465,유치원,남성
2010,인천,16615,유치원,남성
2011,인천,17795,유치원,남성
2012,인천,19572,유치원,남성
2013,인천,21291,유치원,남성
2014,인천,20571,유치원,남성
2015,인천,21576,유치원,남성
2016,인천,22671,유치원,남성
2017,인천,22200,유치원,남성
2018,인천,21257,유치원,남성
2019,인천,19872,유치원,남성
2020,인천,19406,유치원,남성
2021,인천,18186,유치원,남성
2022,인천,17857,유치원,남성
2023,인천,17721,유치원,남성
2024,인천,17508,유치원,남성
1999,광주,7102,유치원,남성
2000,광주,7636,유치원,남성
2001,광주,7927,유치원,남성
2002,광주,7734,유치원,남성
2003,광주,7706,유치원,남성
2004,광주,8222,유치원,남성
2005,광주,8380,유치원,남성
2006,광주,8627,유치원,남성
2007,광주,9084,유치원,남성
2008,광주,9003,유치원,남성
2009,광주,8886,유치원,남성
2010,광주,8803,유치원,남성
2011,광주,9420,유치원,남성
2012,광주,10506,유치원,남성
2013,광주,11610,유치원,남성
2014,광주,11291,유치원,남성
2015,광주,12197,유치원,남성
2016,광주,12826,유치원,남성
2017,광주,12608,유치원,남성
2018,광주,12552,유치원,남성
2019,광주,11793,유치원,남성
2020,광주,11735,유치원,남성
2021,광주,11241,유치원,남성
2022,광주,10581,유치원,남성
2023,광주,10065,유치원,남성
2024,광주,9605,유치원,남성
1999,대전,9977,유치원,남성
2000,대전,10451,유치원,남성
2001,대전,10589,유치원,남성
2002,대전,10536,유치원,남성
2003,대전,10621,유치원,남성
2004,대전,10190,유치원,남성
2005,대전,10518,유치원,남성
2006,대전,11111,유치원,남성
2007,대전,11028,유치원,남성
2008,대전,11121,유치원,남성
2009,대전,10828,유치원,남성
2010,대전,10566,유치원,남성
2011,대전,10759,유치원,남성
2012,대전,11856,유치원,남성
2013,대전,12853,유치원,남성
2014,대전,12789,유치원,남성
2015,대전,13153,유치원,남성
2016,대전,13348,유치원,남성
2017,대전,12730,유치원,남성
2018,대전,12175,유치원,남성
2019,대전,11570,유치원,남성
2020,대전,11324,유치원,남성
2021,대전,10870,유치원,남성
2022,대전,10429,유치원,남성
2023,대전,9593,유치원,남성
2024,대전,9043,유치원,남성
1999,울산,10024,유치원,남성
2000,울산,10523,유치원,남성
2001,울산,10093,유치원,남성
2002,울산,10003,유치원,남성
2003,울산,9801,유치원,남성
2004,울산,9605,유치원,남성
2005,울산,9285,유치원,남성
2006,울산,8658,유치원,남성
2007,울산,8795,유치원,남성
2008,울산,8512,유치원,남성
2009,울산,8469,유치원,남성
2010,울산,7996,유치원,남성
2011,울산,8400,유치원,남성
2012,울산,9170,유치원,남성
2013,울산,9821,유치원,남성
2014,울산,9521,유치원,남성
2015,울산,9997,유치원,남성
2016,울산,10084,유치원,남성
2017,울산,10054,유치원,남성
2018,울산,9289,유치원,남성
2019,울산,8638,유치원,남성
2020,울산,8551,유치원,남성
2021,울산,7988,유치원,남성
2022,울산,7469,유치원,남성
2023,울산,6824,유치원,남성
2024,울산,6433,유치원,남성
2013,세종,619,유치원,남성
2014,세종,817,유치원,남성
2015,세종,2089,유치원,남성
2016,세종,2485,유치원,남성
2017,세종,2733,유치원,남성
2018,세종,3181,유치원,남성
2019,세종,3289,유치원,남성
2020,세종,3413,유치원,남성
2021,세종,3331,유치원,남성
2022,세종,3235,유치원,남성
2023,세종,3096,유치원,남성
2024,세종,2970,유치원,남성
1999,경기,58508,유치원,남성
2000,경기,59558,유치원,남성
2001,경기,60391,유치원,남성
2002,경기,63233,유치원,남성
2003,경기,64457,유치원,남성
2004,경기,65245,유치원,남성
2005,경기,67569,유치원,남성
2006,경기,69436,유치원,남성
2007,경기,70207,유치원,남성
2008,경기,70483,유치원,남성
2009,경기,70669,유치원,남성
2010,경기,72713,유치원,남성
2011,경기,76971,유치원,남성
2012,경기,84965,유치원,남성
2013,경기,93018,유치원,남성
2014,경기,92822,유치원,남성
2015,경기,97334,유치원,남성
2016,경기,99711,유치원,남성
2017,경기,98349,유치원,남성
2018,경기,95839,유치원,남성
2019,경기,89233,유치원,남성
2020,경기,85765,유치원,남성
2021,경기,82027,유치원,남성
2022,경기,77562,유치원,남성
2023,경기,73373,유치원,남성
2024,경기,69719,유치원,남성
1999,강원,9001,유치원,남성
2000,강원,8977,유치원,남성
2001,강원,8471,유치원,남성
2002,강원,8604,유치원,남성
2003,강원,8431,유치원,남성
2004,강원,8304,유치원,남성
2005,강원,8075,유치원,남성
2006,강원,8111,유치원,남성
2007,강원,7800,유치원,남성
2008,강원,7532,유치원,남성
2009,강원,7576,유치원,남성
2010,강원,7391,유치원,남성
2011,강원,7365,유치원,남성
2012,강원,7823,유치원,남성
2013,강원,8192,유치원,남성
2014,강원,8203,유치원,남성
2015,강원,8949,유치원,남성
2016,강원,9235,유치원,남성
2017,강원,8847,유치원,남성
2018,강원,8387,유치원,남성
2019,강원,7734,유치원,남성
2020,강원,7356,유치원,남성
2021,강원,6963,유치원,남성
2022,강원,6705,유치원,남성
2023,강원,6456,유치원,남성
2024,강원,6238,유치원,남성
1999,충북,10067,유치원,남성
2000,충북,9662,유치원,남성
2001,충북,9368,유치원,남성
2002,충북,9031,유치원,남성
2003,충북,8713,유치원,남성
2004,충북,8773,유치원,남성
2005,충북,8443,유치원,남성
2006,충북,8496,유치원,남성
2007,충북,8305,유치원,남성
2008,충북,7914,유치원,남성
2009,충북,7900,유치원,남성
2010,충북,7670,유치원,남성
2011,충북,7901,유치원,남성
2012,충북,8705,유치원,남성
2013,충북,9095,유치원,남성
2014,충북,8985,유치원,남성
2015,충북,9456,유치원,남성
2016,충북,9647,유치원,남성
2017,충북,9282,유치원,남성
2018,충북,8860,유치원,남성
2019,충북,8287,유치원,남성
2020,충북,8020,유치원,남성
2021,충북,7891,유치원,남성
2022,충북,7636,유치원,남성
2023,충북,7226,유치원,남성
2024,충북,7027,유치원,남성
1999,충남,11380,유치원,남성
2000,충남,11328,유치원,남성
2001,충남,11007,유치원,남성
2002,충남,10918,유치원,남성
2003,충남,10670,유치원,남성
2004,충남,10568,유치원,남성
2005,충남,10796,유치원,남성
2006,충남,11044,유치원,남성
2007,충남,10985,유치원,남성
2008,충남,11299,유치원,남성
2009,충남,11400,유치원,남성
2010,충남,11753,유치원,남성
2011,충남,12413,유치원,남성
2012,충남,13277,유치원,남성
2013,충남,13713,유치원,남성
2014,충남,13404,유치원,남성
2015,충남,14052,유치원,남성
2016,충남,14595,유치원,남성
2017,충남,14429,유치원,남성
2018,충남,14181,유치원,남성
2019,충남,13578,유치원,남성
2020,충남,12981,유치원,남성
2021,충남,12421,유치원,남성
2022,충남,11991,유치원,남성
2023,충남,11103,유치원,남성
2024,충남,10387,유치원,남성
1999,전북,11013,유치원,남성
2000,전북,11292,유치원,남성
2001,전북,10955,유치원,남성
2002,전북,11011,유치원,남성
2003,전북,11131,유치원,남성
2004,전북,10998,유치원,남성
2005,전북,10598,유치원,남성
2006,전북,10306,유치원,남성
2007,전북,10040,유치원,남성
2008,전북,9800,유치원,남성
2009,전북,9876,유치원,남성
2010,전북,10169,유치원,남성
2011,전북,10887,유치원,남성
2012,전북,11455,유치원,남성
2013,전북,12069,유치원,남성
2014,전북,12103,유치원,남성
2015,전북,12972,유치원,남성
2016,전북,13484,유치원,남성
2017,전북,13144,유치원,남성
2018,전북,12413,유치원,남성
2019,전북,11249,유치원,남성
2020,전북,10768,유치원,남성
2021,전북,10173,유치원,남성
2022,전북,9573,유치원,남성
2023,전북,8831,유치원,남성
2024,전북,8173,유치원,남성
1999,전남,12996,유치원,남성
2000,전남,12880,유치원,남성
2001,전남,12464,유치원,남성
2002,전남,11943,유치원,남성
2003,전남,11421,유치원,남성
2004,전남,11120,유치원,남성
2005,전남,10939,유치원,남성
2006,전남,10512,유치원,남성
2007,전남,9995,유치원,남성
2008,전남,9708,유치원,남성
2009,전남,9394,유치원,남성
2010,전남,9151,유치원,남성
2011,전남,9083,유치원,남성
2012,전남,9511,유치원,남성
2013,전남,9820,유치원,남성
2014,전남,9894,유치원,남성
2015,전남,10313,유치원,남성
2016,전남,10618,유치원,남성
2017,전남,10429,유치원,남성
2018,전남,9882,유치원,남성
2019,전남,9369,유치원,남성
2020,전남,9000,유치원,남성
2021,전남,8719,유치원,남성
2022,전남,8290,유치원,남성
2023,전남,7887,유치원,남성
2024,전남,7409,유치원,남성
1999,경북,19650,유치원,남성
2000,경북,19988,유치원,남성
2001,경북,19349,유치원,남성
2002,경북,19249,유치원,남성
2003,경북,18811,유치원,남성
2004,경북,18523,유치원,남성
2005,경북,18759,유치원,남성
2006,경북,18506,유치원,남성
2007,경북,17301,유치원,남성
2008,경북,16719,유치원,남성
2009,경북,16659,유치원,남성
2010,경북,16422,유치원,남성
2011,경북,16958,유치원,남성
2012,경북,18464,유치원,남성
2013,경북,19298,유치원,남성
2014,경북,19219,유치원,남성
2015,경북,20072,유치원,남성
2016,경북,20716,유치원,남성
2017,경북,20521,유치원,남성
2018,경북,20063,유치원,남성
2019,경북,18847,유치원,남성
2020,경북,18038,유치원,남성
2021,경북,16911,유치원,남성
2022,경북,15914,유치원,남성
2023,경북,14822,유치원,남성
2024,경북,13847,유치원,남성
1999,경남,22740,유치원,남성
2000,경남,22905,유치원,남성
2001,경남,23006,유치원,남성
2002,경남,23569,유치원,남성
2003,경남,22931,유치원,남성
2004,경남,23184,유치원,남성
2005,경남,23312,유치원,남성
2006,경남,23311,유치원,남성
2007,경남,23203,유치원,남성
2008,경남,23018,유치원,남성
2009,경남,23443,유치원,남성
2010,경남,22968,유치원,남성
2011,경남,23285,유치원,남성
2012,경남,24428,유치원,남성
2013,경남,25830,유치원,남성
2014,경남,25091,유치원,남성
2015,경남,25878,유치원,남성
2016,경남,26796,유치원,남성
2017,경남,26264,유치원,남성
